"","movement","environment","tactic","run","total_energy","total_cpu","total_ram"
"257","AUTONOMOUS","obstacles","ee1",7,1281362.435,20.2721848739496,23.8060504201681
"258","AUTONOMOUS","obstacles","ee1",8,1326935.425,20.3277049180328,23.8631147540984
"259","AUTONOMOUS","obstacles","ee1",9,1301115.22,20.3547154471545,24.4439024390244
"260","AUTONOMOUS","obstacles","ee1",10,1261057.125,20.4072268907563,23.793025210084
"261","AUTONOMOUS","obstacles","ee2",1,1367288.035,17.754496124031,23.813023255814
"262","AUTONOMOUS","obstacles","ee2",2,1329138.08,18.0501550387597,23.7814728682171
"263","AUTONOMOUS","obstacles","ee2",3,1308130.735,17.4273333333333,23.8009166666667
"264","AUTONOMOUS","obstacles","ee2",4,1369669.04,18.2603787878788,23.8276515151515
"265","AUTONOMOUS","obstacles","ee2",5,1330341.055,18.0335658914729,24.4048837209302
"266","AUTONOMOUS","obstacles","ee2",6,1225045.07,17.6807692307692,23.7015384615385
"267","AUTONOMOUS","obstacles","ee2",7,1227510.695,17.8125,23.739
"268","AUTONOMOUS","obstacles","ee2",8,1340512.96,17.671484375,23.155390625
"269","AUTONOMOUS","obstacles","ee2",9,1288281.63,17.4908196721311,23.7936885245902
"270","AUTONOMOUS","obstacles","ee2",10,1239359.065,17.9902325581395,23.147519379845
"271","AUTONOMOUS","obstacles","ee3",1,1362646.345,18.6640983606557,23.8037704918033
"272","AUTONOMOUS","obstacles","ee3",2,1295441.66,18.0577165354331,23.1362992125984
"273","AUTONOMOUS","obstacles","ee3",3,1339859.62,18.5048,23.18768
"274","AUTONOMOUS","obstacles","ee3",4,1400703.89,18.6263565891473,23.775503875969
"275","AUTONOMOUS","obstacles","ee3",5,1357021.87,18.3495348837209,23.7931782945736
"276","AUTONOMOUS","obstacles","ee3",6,1394099.3,18.400873015873,23.7898412698413
"277","AUTONOMOUS","obstacles","ee3",7,1375218.855,18.4123387096774,23.1079838709677
"278","AUTONOMOUS","obstacles","ee3",8,1289937.6,18.166,23.1101538461538
"279","AUTONOMOUS","obstacles","ee3",9,1357466.64,18.2572,23.8132
"280","AUTONOMOUS","obstacles","ee3",10,1265543.065,18.0532520325203,23.1837398373984
"281","AUTONOMOUS","obstacles","ee4",1,1244438.56,20.8782352941176,24.3691596638655
